Category  of States,States,Hindus Male,Hindus Female,Hindus Person,Muslims Male,Muslims Female,Muslims Person,Christians Male,Christians Female,Christians Person,Sikhs Male,Sikhs Female,Sikhs Person
Non Special Category States,Andhra Pradesh,70.7,52.5,61.6,74.0,57.8,65.6,70.8,62.8,66.7,NA,NA,NA
Non Special Category States,Assam,92.9,81.7,87.5,79.8,66.3,73.4,66.6,67.2,66.9,100.0,100.0,100.0
Non Special Category States,Bihar,73.2,47.6,61.2,56.8,34.8,46.2,65.2,36.7,47.7,100.0,100.0,100.0
Non Special Category States,Chhattisgarh,77.4,56.7,67.3,100.0,89.1,95.8,93.3,72.5,82.8,NA,NA,NA
Non Special Category States,Delhi,91.9,71.7,82.9,100.0,79.7,88.4,NA,NA,NA,100.0,74.6,89.3
Non Special Category States,Goa,85.3,73.1,79.0,78.7,41.2,66.0,97.3,79.5,88.7,NA,NA,NA
Non Special Category States,Gujarat,79.8,55.6,68.1,75.4,55.4,65.7,86.1,59.7,72.1,61.0,37.9,46.8
Non Special Category States,Haryana,81.3,59.2,71.0,70.2,43.0,57.8,NA,NA,NA,72.4,58.5,65.9
Non Special Category States,Jharkhand,77.5,54.5,66.5,76.7,54.2,65.9,64.4,49.6,57.3,NA,NA,NA
Non Special Category States,Karnataka,74.1,55.4,64.8,70.1,56.7,63.2,86.7,78.3,82.9,100.0,33.3,50.0
Non Special Category States,Kerala,94.9,89.3,91.9,96.0,92.6,94.2,96.9,94.5,95.7,NA,NA,NA
Non Special Category States,Madhya Pradesh,75.1,53.0,64.6,81.9,65.0,73.4,25.0,33.3,28.6,NA,NA,NA
Non Special Category States,Maharashtra,83.1,63.4,73.4,84.0,65.6,75.1,89.6,86.8,87.9,NA,NA,NA
Non Special Category States,Orissa,74.2,57.1,65.6,85.3,66.1,75.6,58.6,39.1,49.9,NA,NA,NA
Non Special Category States,Punjab,85.5,69.6,77.9,69.6,65.6,67.8,67.4,64.9,66.1,76.0,64.2,70.3
Non Special Category States,Raja st ha n,72.2,40.5,56.8,61.1,27.4,45.3,75.1,0.0,48.1,74.3,44.7,60.6
Non Special Category States,Tamil Nadu,83.7,64.6,73.9,90.6,80.2,84.9,85.2,73.2,78.8,NA,NA,NA
Non Special Category States,Uttar Pradesh,76.9,51.8,64.6,64.4,42.5,53.6,0.0,NA,0.0,74.7,61.0,67.1
Non Special Category States,West Bengal,80.4,65.5,73.2,75.2,63.6,69.4,75.7,56.1,66.5,NA,NA,NA
Special Category States,Arunachal Pradesh,80.6,68.3,83.4,100.0,90.3,95.5,70.6,55.9,63.7,NA,NA,NA
Special Category States,Himachal Pradesh,87.8,72.8,80.1,66.3,51.0,58.1,100.0,100.0,100.0,54.8,76.9,67.3
Special Category States,Jammu & Kashmir,86.4,65.1,76.2,66.6,44.3,55.8,NA,NA,NA,82.2,80.0,80.9
Special Category States,Manipur,90.4,77.8,84.1,86.8,64.7,76.5,87.7,70.7,79.5,NA,NA,NA
Special Category States,Meghalaya,98.7,98.0,98.4,96.9,88.9,93.4,92.9,90.7,91.8,NA,NA,NA
Special Category States,Mizoram,100.0,100.0,100.0,100.0,100.0,100.0,96.9,94.9,96.0,NA,NA,NA
Special Category States,Nagaland,81.5,81.2,81.4,92.5,52.8,74.1,93.6,86.2,90.0,NA,NA,NA
Special Category States,Sikkim,88.2,78.1,83.4,87.7,69.2,83.5,93.0,78.3,85.6,NA,NA,NA
Special Category States,Tripura,82.0,71.3,76.8,73.9,64.1,69.0,76.1,60.6,70.3,NA,NA,NA
Special Category States,Uttarakhand,87.5,65.6,76.1,68.8,50.1,59.3,86.5,59.8,76.5,86.0,87.8,86.7
Union Territories,Andaman & Nicobar Islands,88.9,75.7,82.5,96.9,89.7,93.2,87.7,78.2,83.8,NA,NA,NA
Union Territories,Chandigarh,87.7,75.8,83.5,78.0,41.7,69.3,NA,NA,NA,70.2,63.7,67.0
Union Territories,Dadra & Nagar Haveli,85.4,46.7,69.5,100.0,100.0,100.0,100.0,85.9,92.9,NA,NA,NA
Union Territories,Daman & Diu,95.5,83.5,90.9,100.0,100.0,100.0,100.0,100.0,100.0,NA,NA,NA
Union Territories,Lakshadweep,NA,NA,NA,99.2,86.4,93.1,100.0,100.0,100.0,NA,NA,NA
Union Territories,Puducherry,86.7,68.8,78.5,100.0,95.7,97.8,72.1,15.4,48.3,NA,NA,NA
All India,All India,77.4,56.2,67.0,71.7,55.0,63.5,85.9,78.0,82.0,75.9,63.4,69.9
