Category of States,States,Hindus - Male,Hindus - Female,Hindus - Person,Muslims - Male,Muslims - Female,Muslims - Person,Christians - Male,Christians - Female,Christians - Person,Sikhs - Male,Sikhs - Female,Sikhs - Person
Non Special Category States,Andhra Pradesh,89.3,76.1,82.7,85.9,70.9,78.4,87.1,73,79.4,NA,NA,NA
Non Special Category States,Assam,97.9,91.5,94.9,87.2,81.4,84.6,100,95.8,98.1,100,100,100
Non Special Category States,Bihar,84.8,70.8,78.4,68.3,55.4,62.3,98.3,97.9,98.1,100,86.9,94.5
Non Special Category States,Chhattisgarh,91.5,79,85.5,97.7,94.1,95.8,100,87.1,93.6,100,98.1,99.3
Non Special Category States,Delhi,92.7,78.7,86.6,80.7,64.5,74.2,100,100,100,94.8,88.7,91.8
Non Special Category States,Goa,90.7,84,87.6,73.9,49,62.6,97.5,90,93,NA,NA,NA
Non Special Category States,Gujarat,92.7,79.2,86.5,88.1,73.4,81.1,100,97.4,98.7,100,100,100
Non Special Category States,Haryana,91,75.4,83.8,84.2,57.1,75.4,100,84.2,95,94.9,89.9,92.7
Non Special Category States,Jharkhand,90.6,77.3,84.5,81.3,64.8,73.2,93.8,73.2,83.5,100,100,100
Non Special Category States,Karnataka,91.6,79.4,85.7,85.8,75.5,80.9,94.2,84.8,89.6,NA,NA,NA
Non Special Category States,Kerala,98.8,94.3,96.4,96.2,91.6,93.8,98.9,97.4,98.1,NA,NA,NA
Non Special Category States,Madhya Pradesh,89.9,75.8,83.4,81.4,80.2,80.8,100,90.3,95.2,100,100,100
Non Special Category States,Maharashtra,95,86.2,90.8,87.5,77.1,82.7,92.8,87.8,90.3,98,98,98
Non Special Category States,Orissa,93.2,78,86.1,79.8,62.3,71.6,100,100,100,100,100,100
Non Special Category States,Punjab,87.4,79.5,83.9,56.5,48.1,53,94.8,87,91,88.5,83.1,85.9
Non Special Category States,Raja st ha n,90.5,70.8,81.3,80.7,60.1,70.7,100,100,100,90,75.3,83.1
Non Special Category States,Tamil Nadu,93.1,80.5,86.7,93.9,83.3,88.7,95,91.2,93,NA,NA,NA
Non Special Category States,Uttar Pradesh,89.5,75.5,83,68.4,57.9,63.3,89.5,45.8,62.1,94.9,90.7,93.1
Non Special Category States,West Bengal,92.8,84.2,88.7,82.7,64,74.6,100,100,100,100,100,100
Special Category States,Arunachal Pradesh,95.7,87.6,94.4,90.3,97.2,93.1,94.8,86.6,90.5,NA,NA,NA
Special Category States,Himachal Pradesh,93.8,87.3,90.8,83.3,83.8,83.5,100,80,87.5,100,100,100
Special Category States,Jammu & Kashmir,92.4,83.3,88.1,84.4,64.3,74.5,80.8,73.7,77.5,95,82.6,89.6
Special Category States,Manipur,92.5,82.9,87.7,90.8,58.7,76.7,95.5,86.2,91.2,NA,NA,NA
Special Category States,Meghalaya,96.8,91.6,94.3,64.9,100,80.8,96.7,96,96.3,NA,NA,NA
Special Category States,Mizoram,100,100,100,100,100,100,99.2,97.8,98.5,NA,NA,NA
Special Category States,Nagaland,97.8,94.4,96.7,86.4,74.8,81.7,98.5,95.8,97.2,NA,NA,NA
Special Category States,Sikkim,91.9,84.7,88.9,91.1,59.5,85,NA,NA,NA,NA,NA,NA
Special Category States,Tripura,93.4,88.2,90.8,84.4,71.8,77.4,100,100,100,NA,NA,NA
Special Category States,Uttarakhand,91.5,80.4,86,79.8,63.2,72.5,100,100,100,100,100,100
Union Territories,Andaman & Nicobar Islands,92.7,87.9,90.3,95.4,88.1,92.1,93.8,80.5,86.6,100,100,100
Union Territories,Chandigarh,86.5,76.2,82,71.5,9.4,56.9,100,66.7,80,97.8,92.2,95.1
Union Territories,Dadra & Nagar Haveli,95.7,76.8,88.2,100,0,50,100,100,100,NA,NA,NA
Union Territories,Daman & Diu,98,95.2,96.7,94.7,84.8,90.5,100,100,100,NA,NA,NA
Union Territories,Lakshadweep,100,100,100,92.4,84.8,88.3,100,100,100,NA,NA,NA
Union Territories,Puducherry,94.7,87.8,91.3,100,85.1,92.9,98.4,90.1,93.5,NA,NA,NA
All India,All India,91.6,79.3,85.8,80.9,68.8,75.1,95.3,89,92,90.8,85.3,88.2
